!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
DISPUTED(2)	D IH S P Y UW T IH D
DISSECTS(2)	D AY S EH K S
DISSENTED(2)	D IH S EH N IH D
DISSENTERS(2)	D IH S EH N ER Z
DISSENTING(2)	D IH S EH N IH NG
DISTANCES(2)	D IH S T AH N S IH Z
DISTILLATE(2)	D IH S T AH L AH T
DISTORTED(2)	D IH S T AO R T IH D
DISTRACTED(2)	D IH S T R AE K T IH D
DISTRUSTED(2)	D IH S T R AH S T IH D
DISTURBANCES(2)	D IH S T ER B AH N S IH Z
DITCHES(2)	D IH CH IH Z
DIVERGENCE(2)	D IH V ER JH AH N S
DIVERGENT(2)	D IH V ER JH AH N T
DIVERSE(2)	D IH V ER S
DIVERSIFICATION(2)	D IH V ER S AH F AH K EY SH AH N
DIVERSIFICATIONS(2)	D IH V ER S AH F AH K EY SH AH N Z
DIVERSIFIED(2)	D IH V ER S AH F AY D
DIVERSIFY(2)	D IH V ER S AH F AY
DIVERSIFYING(2)	D IH V ER S AH F AY IH NG
DIVERSION(2)	D IH V ER ZH AH N
DIVERSIONARY(2)	D IH V ER ZH AH N EH R IY
DIVERSIONS(2)	D AY V ER ZH AH N Z
DIVERSITY(2)	D IH V ER S IH T IY
DIVERSITY(3)	D AY V ER S AH T IY
DIVERSITY(4)	D AY V ER S IH T IY
DIVERT(2)	D IH V ER T
DIVERTED(2)	D IH V ER T IH D
DIVERTING(2)	D IH V ER T IH NG
DIVERTS(2)	D IH V ER T S
DIVEST(2)	D IH V EH S T
DIVESTITURE(2)	D AY V EH S T IH CH ER
DIVESTITURES(2)	D AY V EH S T IH CH ER Z
DIVESTMENT(2)	D AY V EH S M AH N T
DIVESTMENT(3)	D IH V EH S M AH N T
DIVESTMENTS(2)	D AY V EH S M AH N T S
DIVESTMENTS(3)	D IH V EH S M AH N T S
DIVISON(2)	D IH V IH S AH N
DIVORCEE(2)	D AH V AO R S EY
DIVULGE(2)	D AY V AH L JH
DIVULGED(2)	D AY V AH L JH D
DIVULGING(2)	D AY V AH L JH IH NG
DJUKANOVIC(2)	JH AH K AE N AH V IH CH
DLUGOSZ(2)	D AH L UW G OW SH
DMITRI(2)	D M IY T R IY
DNASE(2)	D IY EH N EY Z
DOBBERSTEIN(2)	D AA B ER S T AY N
DOBERSTEIN(2)	D OW B ER S T IY N
DOBLER(2)	D OW B L ER
DOBRINJA(2)	D AH B R IY N Y AH
DOBRYNIN(2)	D AH B R IY N IH N
DOCTOR(2)	D AO K T ER
DOCTRINE(2)	D AO K T ER IH N
DOCUMENT(2)	D AA K Y UW M EH N T
DOCUMENTARIES(2)	D AA K Y AH M EH N ER IY Z
DOCUMENTARIES(3)	D AA K Y UW M EH N T ER IY Z
DOCUMENTARIES(4)	D AA K Y UW M EH N ER IY Z
DOCUMENTARY(2)	D AA K Y AH M EH N ER IY
DOCUMENTARY(3)	D AA K Y UW M EH N T ER IY
DOCUMENTARY(4)	D AA K Y UW M EH N ER IY
DOCUMENTATION(2)	D AA K Y UW M EH N T EY SH AH N
DOCUMENTED(2)	D AA K Y AH M EH N AH D
DOCUMENTED(3)	D AA K Y UW M EH N T AH D
DOCUMENTED(4)	D AA K Y UW M EH N AH D
DOCUMENTING(2)	D AA K Y AH M AH N IH NG
DOCUMENTING(3)	D AA K Y UW M AH N T IH NG
DOCUMENTING(4)	D AA K Y UW M AH N IH NG
DOCUMENTS(2)	D AA K Y UW M AH N T S
DODDINGTON(2)	D AA D IH NG T AH N
DOEBLER(2)	D OW B L ER
DOERFLER(2)	D AO R F L ER
DOERFLINGER(2)	D AO R F L IH NG ER
DOES(2)	D IH Z
DOESN'T(2)	D AH Z AH N
DOGLE(2)	D AA G AH L
DOGMATIC(2)	D AO G M AE T IH K
DOGS(2)	D AO G Z
DOHERTY(2)	D AO R T IY
DOHERTY(3)	D AA HH ER T IY
DOIRON(2)	D OY R AH N
DOLLAR'S(2)	D AA L AH Z
DOLLAR'S(3)	D AO L ER Z
DOLLAR(2)	D AO L ER
DOLLARS(2)	D AO L ER Z
DOMENICI'S(2)	D OW M IH N IY CH IY Z
DOMENICI'S(3)	D OW M EH N IY CH IY Z
DOMENICI(2)	D OW M IH N IY CH IY
DOMENICI(3)	D OW M EH N IY CH IY
DOMINELLI'S(2)	D AA M IH N EH L IY Z
DOMINELLI(2)	D AA M IH N EH L IY
DOMINGO(2)	D AH M IH NG G OW
DOMINICANA(2)	D OW M IH N IH K AE N AH
DOMINO(2)	D AA M IH N OW
DON'T(2)	D OW N
DON'TS(2)	D OW N S
DONAHUE(2)	D AA N AH Y UW
DONATED(2)	D OW N EY T IH D
DONDLINGER(2)	D AA N D L IH NG ER
DONG(2)	D AO NG G
DONKEY(2)	D AO NG K IY
DONNELLEY'S(2)	D AA N EH L IY Z
DONNELLEY(2)	D AA N EH L IY
DONNELLY'S(2)	D AA N EH L IY Z
DONNELLY(2)	D AA N EH L IY
DONOGHUE'S(2)	D AA N AH Y UW Z
DONOGHUE(2)	D AA N AH Y UW
DONOHUE'S(2)	D AA N AH Y UW Z
DONOHUE(2)	D AA N AH Y UW
DORAZIO(2)	D AO R EY Z IY OW
DORIS(2)	D AO R IH S
DORIS(3)	D AA R AH S
DORIS(4)	D AA R IH S
DOROTEA(2)	D AO R AH T EY AH
DOROTHY'S(2)	D AO R TH IY Z
DOROTHY(2)	D AO R TH IY
DOS(2)	D OW S
DOSAGE(2)	D OW S IH JH
DOSES(2)	D OW S IH Z
DOSSIER(2)	D AO S IY EY
DOSSIERS(2)	D AO S IY EY Z
DOSTOEVSKY(2)	D AO S T OY EH V S K IY
DOSTOEVSKY(3)	D AO S T OY EH F S K IY
DOTTED(2)	D AA T IH D
DOUBLING(2)	D AH B L IH NG
DOUGALL(2)	D UW G AH L
DOUGAN(2)	D UW G AH N
DOUGANS(2)	D UW G AH N
DOUGENS(2)	D UW G AH N Z
DOUGHERTY(2)	D AA G ER T IY
DOUR(2)	D AW R
DOVE(2)	D OW V
DOVISH(2)	D AH V IH SH
DR(2)	D AA K T ER
DR.(2)	D AA K T ER
DRACO(2)	D R AE K OW
DRACONIAN(2)	D R AH K OW N IY AH N
DRAHUSCHAK(2)	D R AH HH UW SH AH K
DRAINAGE(2)	D R EY N IH JH
DRAM(2)	D IY R AE M
DRAMATICALLY(2)	D R AH M AE T IH K AH L IY
DRAMATIZE(2)	D R AE M AH T AY Z
DRAMS(2)	D IY R AE M Z
DRECHSLER(2)	D R EH K S L ER
DREDGES(2)	D R EH JH IH Z
DREPUNG(2)	D R EY P AO NG
DRESSES(2)	D R EH S IH Z
DREYFUS(2)	D R EY F AH S
DRIBBLING(2)	D R IH B L IH NG
DRIFTED(2)	D R IH F T IH D
DRIZZLING(2)	D R IH Z L IH NG
DROBKOV(2)	D R AO B K AO F
DROESSLER(2)	D R OW S L ER
DROMOMANIA(2)	D R OW M OW M EY N Y AH
DROP(2)	D R AO P
DROSTE(2)	D R AA S T
DROSTE(3)	D R AA S T AH
DRUGGIST'S(2)	D R AH G IH S T S
DRUGGISTS(2)	D R AH G IH S T S
DU(2)	D AH
DUAL(2)	D UW L
DUAN(2)	D W EY N
DUBCEK(2)	D UW B CH EH K
DUBERSTEIN'S(2)	D UW B ER S T IY N Z
DUBERSTEIN(2)	D UW B ER S T IY N
DUBILIER(2)	D UW B AH L AY ER
DUBOIS(2)	D UW B W AA
DUBOISE(2)	D UW B W AA
DUBROVSKY(2)	D UW B R AO V S K IY
DUCOMMUN(2)	D UW K AA M UW N
DUE(2)	D Y UW
DUELL(2)	D UW L
DUENA(2)	D W EY N Y AH
DUENAS(2)	D W EY N Y AH S
DUESLER(2)	D UW S L ER
DUET(2)	D Y UW EH T
DUETS(2)	D Y UW EH T S
DUEY(2)	D Y UW IY
DUIS(2)	D IY Y UW AY Z
DUKAKIS'(2)	D UW K AA K IH S IH Z
DUMAS(2)	D UW M AA
DUNJA(2)	D AH N JH AH
DUODENAL(2)	D UW AA D AH N AH L
DUOPOLY(2)	D Y UW AA P AH L IY
DUPLER(2)	D UW P L ER
DUPLICATE(2)	D UW P L AH K EY T
DUPLICATED(2)	D Y UW P L AH K EY T IH D
DUPRIEST(2)	D UW P R IY S T
DURFLINGER(2)	D ER F L IH NG ER
DURHAM(2)	D UH R HH AE M
DURHAM(3)	D UH R AH M
DURING(2)	D Y UH R IH NG
DURING(3)	D ER IH NG
DUSCH(2)	D AH CH
DUSH(2)	D UW SH
DUTY(2)	D Y UW T IY
DWI(2)	D IY D AH B AH Y UW AY
DWINDLING(2)	D W IH N D L IH NG
DYNAMICS'(2)	D AY N AE M IH K S
DYNCORP(2)	D AY N K AO R P
DYNEER(2)	D AY N IH R
EAP(2)	IY P
EAR(2)	IH R
EARDLEY(2)	ER D L IY
EARHART(2)	EH R HH AA R T
EARLESS(2)	IY R L AH S
EARMARK(2)	IY R M AA R K
EARMARKED(2)	IY R M AA R K T
EARMARKING(2)	IY R M AA R K IH NG
EARMARKS(2)	IY R M AA R K S
EARMUFF(2)	IY R M AH F
EARMUFFS(2)	IY R M AH F S
EARPHONE(2)	IY R F OW N
EARPHONES(2)	IY R F OW N Z
EARPIECE(2)	IY R P IY S
EARPIECES(2)	IY R P IY S IH Z
EARPLUG(2)	IY R P L AH G
EARPLUGS(2)	IY R P L AH G Z
EARRING(2)	IY R IH NG
EARRINGS(2)	IY R IH NG Z
EARS(2)	IY R Z
EARSHOT(2)	IY R SH AA T
EARWAX(2)	IY R W AE K S
EARWOOD(2)	IY R W UH D
EASTERLIN(2)	IY S T ER L IH N
EASTLAND'S(2)	IY S T L AE N D Z
EASTLAND'S(3)	IY S L AH N D Z
EASTLAND'S(4)	IY S L AE N D Z
EASTLAND(2)	IY S T L AE N D
EASTLAND(3)	IY S L AH N D
EASTLAND(4)	IY S L AE N D
EATHERTON(2)	IY TH ER T AH N
EAUX(2)	OW Z
EBAN(2)	IY B AH N
EBANO(2)	IY B AH N OW
EBLING(2)	EH B L IH NG
ECCENTRIC(2)	EH K S EH N T R IH K
ECCENTRICS(2)	EH K S EH N T R IH K S
ECKARD(2)	EH K HH AA R D
ECKARDT'S(2)	EH K HH AA R T S
ECKARDT(2)	EH K HH AA R T
ECKSTEIN(2)	EH K S T AY N
ECLIPSE(2)	AH K L IH P S
ECLIPSE(3)	IY K L IH P S
ECLIPSED(2)	AH K L IH P S T
ECLIPSED(3)	IY K L IH P S T
ECLIPSES(2)	IY K L IH P S IH Z
ECLIPSING(2)	IY K L IH P S IH NG
ECLIPSING(3)	AH K L IH P S IH NG
ECO(2)	EH K OW
ECOLAB(2)	EH K OW L AE B
ECOLOGICAL(2)	EH K AH L AA JH IH K AH L
ECOLOGICALLY(2)	EH K AH L AA JH IH K L IY
ECOLOGIST(2)	IY K AA L AH JH IH S T
ECOLOGISTS(2)	IY K AA L AH JH IH S T S
ECOLOGISTS(3)	IH K AA L AH JH IH S
ECOLOGISTS(4)	IY K AA L AH JH IH S
ECOLOGY(2)	IY K AA L AH JH IY
ECONOMIC(2)	IY K AH N AA M IH K
ECONOMICAL(2)	IY K AH N AA M IH K AH L
ECONOMICALLY(2)	IY K AH N AA M IH K L IY
ECONOMICS(2)	IY K AH N AA M IH K S
ECONOMIES(2)	IY K AA N AH M IY Z
ECONOMIST'S(2)	IY K AA N AH M IH S T S
ECONOMIST'S(3)	IH K AA N AH M IH S
ECONOMIST'S(4)	IY K AA N AH M IH S
ECONOMIST(2)	IY K AA N AH M IH S T
ECONOMISTS'(2)	IY K AA N AH M IH S T S
ECONOMISTS(2)	IH K AA N AH M IH S
ECONOMISTS(3)	IY K AA N AH M IH S
ECONOMIZE(2)	IY K AA N AH M AY Z
ECONOMIZES(2)	IY K AA N AH M AY Z AH Z
ECONOMIZING(2)	IY K AA N AH M AY Z IH NG
ECONOMY'S(2)	IY K AA N AH M IY Z
ECONOMY(2)	IY K AA N AH M IY
EDELMAN'S(2)	EY D AH L M AH N Z
EDELMAN(2)	EY D AH L M AH N
EDELSTEIN(2)	EH D AH L S T IY N
EDGES(2)	EH JH IH Z
EDITED(2)	EH D IH T IH D
EDITING(2)	EH D IH T IH NG
EDITION(2)	IH D IH SH AH N
EDITOR(2)	EH D IH T ER
EDIVAL(2)	EH D IY V AE L
EDU(2)	IY D IY Y UW
EDUCATE(2)	EH JH Y UW K EY T
EDUCATED(2)	EH JH Y UW K EY T AH D
EDUCATES(2)	EH JH Y AH K EY T S
EDUCATES(3)	EH JH UW K EY T S
EDUCATES(4)	EH JH Y UW K EY T S
EDUCATING(2)	EH JH Y UW K EY T IH NG
EDUCATION'S(2)	EH JH Y UW K EY SH AH N Z
EDUCATION(2)	EH JH Y UW K EY SH AH N
EDUCATIONAL(2)	EH JH Y UW K EY SH AH N AH L
EDUCATIONALLY(2)	EH JH AH K EY SH N AH L IY
EDUCATIONALLY(3)	EH JH Y UW K EY SH AH N AH L IY
EDUCATIONALLY(4)	EH JH Y UW K EY SH N AH L IY
EDUCATIONS(2)	EH JH Y UW K EY SH AH N Z
EDUCATOR(2)	EH JH Y UW K EY T ER
EDUCATORS(2)	EH JH Y UW K EY T ER Z
EDWIN(2)	EH D W IH N
EDYE(2)	IY D IY
EFFECT(2)	IY F EH K T
EFFECT(3)	AH F EH K T
EFFECTED(2)	IH F EH K T IH D
EFFECTED(3)	IY F EH K T AH D
EFFECTED(4)	IY F EH K T IH D
EFFECTING(2)	IY F EH K T IH NG
EFFECTIVE(2)	IY F EH K T IH V
EFFECTIVELY(2)	IY F EH K T IH V L IY
EFFECTIVENESS(2)	IY F EH K T IH V N AH S
EFFECTS(2)	IH F EH K S
EFFECTS(3)	IY F EH K T S
EFFECTS(4)	IY F EH K S
EFFINGHAM(2)	EH F IH NG HH AH M
EGON(2)	IY G AA N
EGYPT'S(2)	IY JH IH P T S
EGYPT(2)	IY JH IH P T
EHRENREICH(2)	EH R AH N R IH CH
EICHLER(2)	AY K L ER
EIFLER(2)	AY F L ER
EIGHTH(2)	EY TH
EISENSTEIN(2)	AY Z AH N S T IY N
EISSLER(2)	AY S L ER
EITHER(2)	AY DH ER
EJECTS(2)	IH JH EH K S
EJUP'S(2)	IY JH UW P S
EJUP(2)	IY JH UW P
EK(2)	IY K EY
ELABORATE(2)	IH L AE B ER EY T
ELAINE'S(2)	IY L EY N Z
ELAINE'S(3)	IH L EY N Z
ELAINE(2)	AH L EY N
ELAINE(3)	IY L EY N
ELATED(2)	IH L EY T IH D
ELATER(2)	IH L EY T ER
ELATERS(2)	IH L EY T ER Z
ELEANOR'S(2)	EH L AH N ER Z
ELEANOR(2)	EH L AH N ER
ELECTED(2)	IH L EH K T IH D
ELECTORATE(2)	IH L EH K T R IH T
ELECTRICALLY(2)	IH L EH K T R IH K L IY
ELECTRONICALLY(2)	IH L EH K T R AA N IH K L IY
ELECTROPHORESIS(2)	IH L EH K T R OW F ER IY S IH S
ELEMENTAL(2)	EH L AH M EH N AH L
ELEMENTARY(2)	EH L AH M EH N T ER R IY
ELEMENTARY(3)	EH L AH M EH N CH R IY
ELENA(2)	EH L EY N AH
ELEVEN'S(2)	IY L EH V AH N Z
ELEVEN(2)	IY L EH V AH N
ELEVENS(2)	IY L EH V AH N Z
ELEVENTH(2)	IY L EH V AH N TH
ELIGIBLE(2)	EH L IH JH AH B AH L
ELIJAH(2)	IY L AY JH AH
ELIMINATED(2)	IH L IH M AH N EY T IH D
ELISA'S(2)	AH L IY Z AH Z
ELISA(2)	AH L IY Z AH
ELITE(2)	EY L IY T
ELITES(2)	EY L IY T S
ELITISM(2)	EY L IY T IH Z AH M
ELITIST(2)	IH L IY T IH S T
ELITISTS(2)	IH L IY T IH S T S
ELIZABETH(2)	IH L IH Z AH B IH TH
ELKIND(2)	EH L K IH N D
ELOISE(2)	EH L OW IY Z
ELSEVIER'S(2)	EH L S AH V IH R Z
ELSEVIER(2)	EH L S AH V IH R
ELYSEE(2)	EH L IY S IY
ELYSEES(2)	EH L IY S IY Z
ELYSIA(2)	IH L IY ZH AH
EMASCULATE(2)	AH M AE S K Y UW L EY T
EMBARK(2)	IH M B AA R K
EMBERTON(2)	EH M B ER T AH N
EMBEZZLER(2)	EH M B EH Z L ER
EMBEZZLERS(2)	EH M B EH Z L ER Z
EMBEZZLING(2)	EH M B EH Z L IH NG
EMBEZZLING(3)	IH M B EH Z L IH NG
EMBEZZLING(4)	EH M B EH Z AH L IH NG
EMBLETON(2)	EH M B AH L T AA N
EMBRACE(2)	IH M B R EY S
EMERALD(2)	EH M ER R AH L D
EMERALDS(2)	EH M ER R AH L D Z
EMERGE(2)	IY M ER JH
EMERGED(2)	IY M ER JH D
EMERGENCE(2)	IY M ER JH AH N S
EMERGENCIES(2)	IY M ER JH AH N S IY Z
EMERGENCY(2)	IY M ER JH AH N S IY
EMERGENT(2)	IY M ER JH AH N T
EMERGES(2)	IY M ER JH IH Z
EMERGING(2)	IY M ER JH IH NG
EMERTON(2)	EH M ER T AH N
EMIR(2)	EY M IH R
EMIRATE(2)	EH M ER EY T
EMIRATES'(2)	EH M ER EY T S
EMIRATES(2)	EH M ER EY T S
EMITTED(2)	IH M IH T IH D
EMOTION(2)	IY M OW SH AH N
EMOTIONAL(2)	IY M OW SH AH N AH L
EMOTIONALISM(2)	IY M OW SH AH N AH L IH Z AH M
EMOTIONALLY(2)	IY M OW SH N AH L IY
EMOTIONS(2)	IY M OW SH AH N Z
EMOTIVE(2)	IY M OW T IH V
EMPANELING(2)	EH M P AE N L IH NG
EMPHASIS(2)	EH M F AH S IH S
EMPHASIZES(2)	EH M F AH S AY Z IH Z
EMPHATICALLY(2)	EH M F AE T IH K AH L IY
EMPIRICALLY(2)	EH M P IH R IH K L IY
EMPLOY(2)	IH M P L OY
EMPLOYED(2)	IH M P L OY D
EMPLOYEE'S(2)	IH M P L OY IY Z
EMPLOYEE(2)	IH M P L OY IY
EMPLOYEES(2)	IH M P L OY IY Z
EMPLOYER'S(2)	IH M P L OY ER Z
EMPLOYER(2)	IH M P L OY ER
EMPLOYERS'(2)	IH M P L OY ER Z
EMPLOYERS(2)	IH M P L OY ER Z
EMPLOYING(2)	IH M P L OY IH NG
EMPLOYMENT(2)	IH M P L OY M AH N T
EMPLOYMENTS(2)	IH M P L OY M AH N T S
EMPLOYS(2)	IH M P L OY Z
EMPT(2)	EH M T
EMPTED(2)	EH M T IH D
EMPTIED(2)	EH M T IY D
EMPTIER(2)	EH M T IY ER
EMPTIES(2)	EH M T IY Z
EMPTINESS(2)	EH M T IY N AH S
EMPTING(2)	EH M T IH NG
EMPTY(2)	EH M T IY
EMPTYING(2)	EH M T IY IH NG
ENABLE(2)	IH N EY B AH L
ENABLED(2)	IH N EY B AH L D
ENABLER(2)	EH N EY B L ER
ENABLER(3)	IH N EY B L ER
ENABLER(4)	IH N EY B AH L ER
ENABLES(2)	IH N EY B AH L Z
ENABLING(2)	IH N EY B AH L IH NG
ENABLING(3)	IH N EY B L IH NG
ENACTMENT(2)	EH N AE K M AH N T
ENACTMENTS(2)	EH N AE K M AH N T S
ENACTMENTS(3)	EH N AE K M AH N S
ENCHANTED(2)	EH N CH AE N IH D
ENCHANTER'S(2)	IH N CH AE N T ER Z
ENCHANTER'S(3)	EH N CH AE N ER Z
ENCHANTER'S(4)	IH N CH AE N ER Z
ENCHANTERS(2)	IH N CH AE N T ER Z
ENCHANTERS(3)	EH N CH AE N ER Z
ENCHANTERS(4)	IH N CH AE N ER Z
ENCHANTING(2)	EH N CH AE N IH NG
ENCIRCLING(2)	EH N S ER K L IH NG
ENCLAVE(2)	EH N K L EY V
ENCLAVES(2)	EH N K L EY V Z
ENCLOSED(2)	IH N K L OW Z D
ENCLOSURE(2)	IH N K L OW ZH ER
ENCOUNTER(2)	IH N K AW N ER
ENCOUNTERED(2)	IH N K AW N ER D
ENCOUNTERING(2)	EH N K AW N ER IH NG
ENCOUNTERS(2)	IH N K AW N ER Z
ENCOURAGE(2)	IH N K ER AH JH
ENCOURAGED(2)	IH N K ER AH JH D
ENCOURAGES(2)	IH N K ER AH JH AH Z
ENCOURAGING(2)	IH N K ER AH JH IH NG
ENCRYPT(2)	IH N K R IH P T
ENCRYPTED(2)	IH N K R IH P T IH D
ENCYCLOPAEDIA(2)	IH N S AY K L OW P IY D IY AH
ENCYCLOPEDIA(2)	IH N S AY K L OW P IY D IY AH
ENCYCLOPEDIAS(2)	IH N S AY K L OW P IY D IY AH Z
ENCYCLOPEDIC(2)	IH N S AY K L OW P IY D IH K
ENCYCLOPEDIST(2)	IH N S AY K L OW P IY D AH S T
ENDANGERED(2)	IH N D EY N JH ER D
ENDEAVORING(2)	IH N D EH V R IH NG
ENDED(2)	EH N D IH D
ENDURE(2)	IH N D UH R
ENDURED(2)	IH N D UH R D
ENDURES(2)	IH N D UH R Z
ENDURING(2)	IH N D UH R IH NG
ENFANT(2)	AA N F AA N T
ENGENDER(2)	IH N JH EH N D ER
ENGINE(2)	IH N JH AH N
ENGLER'S(2)	EH NG G L ER Z
ENGLER(2)	EH NG G L ER
ENGLISH(2)	IH NG L IH SH
ENHANCED(2)	IH N HH AE N S T
ENJOIN(2)	IH N JH OY N
ENJOY(2)	IH N JH OY
ENJOYED(2)	IH N JH OY D
ENJOYING(2)	IH N JH OY IH NG
ENJOYMENT(2)	IH N JH OY M AH N T
ENJOYS(2)	IH N JH OY Z
ENLARGE(2)	IH N L AA R JH
ENLARGED(2)	IH N L AA R JH D
ENLIGHTENING(2)	EH N L AY T N IH NG
ENLISTED(2)	IH N L IH S T AH D
ENLISTING(2)	IH N L IH S T IH NG
ENMITIES(2)	EH N M IH T IY Z
ENMITY(2)	EH N M IH T IY
ENNES(2)	EH N EH Z
ENORMITY(2)	IY N AO R M AH T IY
ENORMOUS(2)	IH N AO R M IH S
ENORMOUS(3)	IY N AO R M AH S
ENORMOUS(4)	IY N AO R M IH S
ENORMOUSLY(2)	IY N AO R M AH S L IY
ENOUGH'S(2)	IY N AH F S
ENOUGH(2)	IY N AH F
ENRAGED(2)	IH N R EY JH D
ENRICH(2)	IH N R IH CH
ENRICHING(2)	IH N R IH CH IH NG
ENRICHMENT(2)	IH N R IH CH M AH N T
ENRILE(2)	EH N R IY L EY
ENROLL(2)	IH N R OW L
ENSURE(2)	IH N SH UH R
ENSURED(2)	IH N SH UH R D
ENSURES(2)	IH N SH UH R Z
ENSURING(2)	IH N SH UH R IH NG
ENTANGLEMENT(2)	IH N T AE NG G AH L M AH N T
ENTANGLEMENTS(2)	IH N T AE NG G AH L M AH N T S
ENTANGLING(2)	EH N T AE NG L IH NG
ENTER(2)	EH N ER
ENTERED(2)	EH N ER D
ENTERING(2)	EH N ER IH NG
ENTERPRISE'S(2)	EH N T ER P R AY Z IH Z
ENTERPRISE'S(3)	EH N ER P R AY Z AH Z
ENTERPRISE'S(4)	EH N ER P R AY Z IH Z
ENTERPRISE(2)	EH N ER P R AY Z
ENTERPRISES'(2)	EH N ER P R AY Z IH Z
ENTERPRISES(2)	EH N ER P R AY Z IH Z
ENTERPRISING(2)	EH N ER P R AY Z IH NG
ENTERS(2)	EH N ER Z
ENTERTAIN(2)	EH N ER T EY N
ENTERTAINED(2)	EH N ER T EY N D
ENTERTAINER'S(2)	EH N ER T EY N ER Z
ENTERTAINER(2)	EH N ER T EY N ER
ENTERTAINERS(2)	EH N ER T EY N ER Z
ENTERTAINING(2)	EH N ER T EY N IH NG
ENTERTAINMENT'S(2)	EH N ER T EY N M AH N T S
ENTERTAINMENT(2)	EH N ER T EY N M AH N T
ENTERTAINMENTS(2)	EH N ER T EY N M AH N T S
ENTERTAINS(2)	EH N ER T EY N Z
ENTITLE(2)	IH N T AY T AH L
ENTITLING(2)	EH N T AY T L IH NG
ENTITY(2)	EH N T IH T IY
ENTOURAGE(2)	AA N T ER AA ZH
ENTOURAGES(2)	AA N T ER AA ZH AH Z
ENTRE(2)	AA N T R AH
ENTRENCHED(2)	IH N T R EH N CH T
ENTREPRENEUR(2)	AA N T R AH P R AH N UH R
ENUNCIATE(2)	IY N AH N S IY EY T
ENVIRONMENTAL(2)	IH N V AY R AH N M EH N AH L
ENVIRONMENTALISM(2)	EH N V AY R AH N M EH N AH L IH Z AH M
ENVIRONMENTALIST(2)	IH N V AY R AH N M EH N AH L IH S T
ENVIRONMENTALISTS'(2)	EH N V AY R AH N M EH N AH L IH S T S
ENVIRONMENTALISTS(2)	EH N V AY R AH N M EH N AH L IH S T S
ENVIRONMENTALISTS(3)	EH N V AY R AH N M EH N T AH L IH S
ENVIRONMENTALISTS(4)	EH N V AY R AH N M EH N AH L IH S
ENVIRONMENTALLY(2)	IH N V AY R AH N M EH N AH L IY
ENVOY(2)	AA N V OY
ENVOYS(2)	AA N V OY Z
EON(2)	IY AA N
EPIDEMIC(2)	EH P IH D EH M IH K
EPISCOPALIAN(2)	IH P IH S K AH P EY L Y AH N
EPISCOPALIANS(2)	IH P IH S K AH P EY L Y AH N Z
EPISODE(2)	EH P IH S OW D
EPISODES(2)	EH P IH S OW D Z
EPOCH(2)	IY P AH K
EPOCHS(2)	IY P AH K S
EPSTEIN(2)	EH P S T AY N
EQUITABLE(2)	EH K W IH T AH B AH L
ERA'S(2)	IH R AH Z
ERA(2)	IH R AH
ERASABLE(2)	IY R EY S AH B AH L
ERASE(2)	IY R EY S
ERASED(2)	IY R EY S T
ERASER(2)	IY R EY S ER
ERASERS(2)	IY R EY S ER Z
ERASES(2)	IY R EY S IH Z
ERASING(2)	IY R EY S IH NG
ERECTED(2)	IH R EH K T IH D
ERITREA(2)	EH R IH T R EY AH
ERITREAN(2)	EH R IH T R EY AH N
ERITREANS(2)	EH R IH T R EY AH N Z
ERLANGER(2)	EH R L AE NG G ER
ERLICHMAN(2)	EH R L IH K M AH N
ERLICK(2)	EH R L IH K
ERNEST(2)	ER N IH S T
ERODE(2)	IY R OW D
ERODED(2)	IH R OW D IH D
ERODING(2)	IY R OW D IH NG
ERR(2)	ER
ERRONEOUS(2)	ER OW N IY AH S
ERS(2)	IY AA R EH S
ERSATZ(2)	EH R Z AA T S
ERSHAD(2)	ER SH AA D
ERTE(2)	ER T EY
ERUPT(2)	IY R AH P T
ERUPTED(2)	IH R AH P T IH D
ERUPTING(2)	IH R AH P T IH NG
ERUPTION(2)	IH R AH P SH AH N
ERUPTIONS(2)	IH R AH P SH AH N Z
ERUPTIVE(2)	IH R AH P T IH V
ERUPTS(2)	IH R AH P T S
ESBENSHADE(2)	EH S B AH N SH EY D
ESCHEWED(2)	EH S K Y UW D
ESCHEWING(2)	EH S K Y UW IH NG
ESCOBAR'S(2)	EH S K AH B AA R Z
ESCOBAR(2)	EH S K AH B AA R
ESKENAZI(2)	EH S K AH N AA Z IY
ESLER(2)	EH S L ER
ESLINGER(2)	EH S L IH NG ER
ESOTERIC(2)	EH S OW T EH R IH K
ESPECIALLY(2)	AH S P EH SH AH L IY
ESPENSHADE(2)	EH S P IH N SH EY D
ESPIRITO(2)	EH S P IH R IH T OW
ESPOUSE(2)	IH S P AW S
ESPOUSED(2)	IH S P AW S T
ESPOUSES(2)	IH S P AW S IH Z
ESPOUSING(2)	IH S P AW S IH NG
ESPRESSO(2)	EH K S P R EH S OW
ESPRESSOS(2)	EH K S P R EH S OW Z
ESSENTIAL(2)	IY S EH N SH AH L
ESSENTIAL(3)	AH S EH N CH AH L
ESSENTIAL(4)	IY S EH N CH AH L
ESSENTIALLY(2)	IY S EH N SH AH L IY
ESSENTIALS(2)	IY S EH N CH AH L Z
ESSENTIALS(3)	EH S EH N SH AH L Z
ESSENTIALS(4)	IY S EH N SH AH L Z
ESSES(2)	EH S IY Z
ESTABLISH(2)	IY S T AE B L IH SH
ESTABLISHED(2)	IY S T AE B L IH SH T
